GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.schedulers,ProcessPublishedPagesScheduler,35,57,6,6,9,18,6,4,1,3
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.models,FormSearchModel,26,0,0,0,6,0,4,0,4,0
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.models,AuthorInfo,31,0,0,0,13,0,9,0,9,0
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.models,ImageList,2,0,0,0,1,0,1,0,1,0
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.models,Author,0,15,0,0,0,6,0,3,0,3
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.models,ImageList.ListItem,2,0,0,0,1,0,1,0,1,0
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.models,Page,9,0,0,0,4,0,2,0,2,0
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.models,HelloWorldModel,0,46,0,0,0,8,0,4,0,4
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.models.impl,ImageListImpl.ImageListItemImpl,0,132,0,4,0,26,0,13,0,11
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.models.impl,BylineImpl,0,68,0,12,0,18,0,13,0,7
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.models.impl,ImageListImpl.SimpleImageComponentResource,0,64,0,2,0,13,0,4,0,3
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.models.impl,ImageListImpl,0,219,1,15,0,47,1,18,0,11
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.servlets,PageInfoServlet,10,219,1,15,2,48,3,11,2,4
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.servlets,AuthorInfoServlet,99,63,9,3,24,16,6,3,1,2
WKND Sites Project - Core,com.adobe.aem.guides.wknd.core.servlets,FormSearchServlet,2,147,2,4,1,32,2,3,0,2
